año,mes,nacion,4 y 5 estrellas,3 estrellas,2 estrellas,1 estrella,hoteleros,extrahoteleros,total
2011,2,Francia,64,167,120,91,442,0,442
2011,2,Gran Bretaña,64,175,197,22,458,0,458
2011,2,Irlanda,8,20,33,6,67,0,67
2011,2,Italia,49,107,115,43,314,0,314
2011,2,Suecia,16,8,81,5,110,0,110
2011,2,Noruega,10,22,43,0,75,0,75
2011,2,Dinamarca,4,32,29,10,75,0,75
2011,2,Finlandia,8,20,45,3,76,0,76
2011,2,Suiza,12,20,24,5,61,0,61
2011,2,Austria,4,12,21,6,43,0,43
2011,2,Rusia,0,5,36,5,46,0,46
2011,2,Países del Este,12,3,83,6,104,0,104
2011,2,Resto de Europa,50,25,70,16,161,0,161
2011,2,Estados Unidos,19,33,30,4,86,0,86
2011,2,Resto de América,8,38,118,30,194,0,194
2011,2,Resto del Mundo,25,193,139,22,379,0,379
2011,2,TOTAL,3864,4461,4600,774,13699,0,13699
2011,3,España,4054,3539,4091,500,12184,0,12184
2011,3,Holanda,18,0,38,19,75,0,75
2011,3,Bélgica,28,18,24,11,81,0,81
2011,3,Alemania,51,137,240,89,517,0,517
2011,3,Francia,40,135,141,105,421,0,421
2011,3,Gran Bretaña,39,205,198,16,458,0,458
2011,3,Irlanda,5,23,8,11,47,0,47
2011,3,Italia,71,199,209,27,506,0,506
2011,3,Suecia,2,3,44,8,57,0,57
2011,3,Noruega,2,16,20,14,52,0,52
2011,3,Dinamarca,6,10,66,8,90,0,90
2011,3,Finlandia,7,16,97,8,128,0,128
2011,3,Suiza,9,28,19,3,59,0,59
2011,3,Austria,1,13,13,0,27,0,27
2011,3,Rusia,3,8,81,8,100,0,100
2011,3,Países del Este,2,10,101,54,167,0,167
2011,3,Resto de Europa,32,106,108,5,251,0,251
2011,3,Estados Unidos,28,28,29,0,85,0,85
2011,3,Resto de América,21,31,120,30,202,0,202
2011,3,Resto del Mundo,29,243,138,27,437,0,437
2011,3,TOTAL,4448,4768,5785,943,15944,0,15944
2011,4,España,3017,3104,3059,410,9590,0,9590
2011,4,Holanda,25,5,34,19,83,0,83
2011,4,Bélgica,37,20,15,8,80,0,80
2011,4,Alemania,115,121,204,47,487,0,487
2011,4,Francia,23,81,111,33,248,0,248
2011,4,Gran Bretaña,50,62,104,6,222,0,222
2011,4,Irlanda,16,5,9,1,31,0,31
2011,4,Italia,25,81,147,30,283,0,283
2011,4,Suecia,6,9,8,0,23,0,23
2011,4,Noruega,8,14,15,0,37,0,37
2011,4,Dinamarca,35,11,18,4,68,0,68
2011,4,Finlandia,8,8,15,1,32,0,32
2011,4,Suiza,2,36,26,4,68,0,68
2011,4,Austria,12,9,8,3,32,0,32
2011,4,Rusia,8,31,85,4,128,0,128
2011,4,Países del Este,17,30,103,29,179,0,179
2011,4,Resto de Europa,0,67,114,11,192,0,192
2011,4,Estados Unidos,31,45,33,3,112,0,112
2011,4,Resto de América,8,158,152,28,346,0,346
2011,4,Resto del Mundo,35,105,172,38,350,0,350
2011,4,TOTAL,3478,4002,4432,679,12591,0,12591
2011,5,España,3640,3542,3455,481,11118,0,11118
2011,5,Holanda,0,9,26,5,40,0,40
2011,5,Bélgica,10,18,20,8,56,0,56
2011,5,Alemania,35,52,98,28,213,0,213
2011,5,Francia,25,56,83,25,189,0,189
2011,5,Gran Bretaña,31,38,120,6,195,0,195
2011,5,Irlanda,2,8,15,3,28,0,28
2011,5,Italia,33,33,106,11,183,0,183
2011,5,Suecia,2,4,7,0,13,0,13
2011,5,Noruega,0,0,11,0,11,0,11
2011,5,Dinamarca,8,0,3,3,14,0,14
2011,5,Finlandia,0,4,24,0,28,0,28
2011,5,Suiza,2,9,19,3,33,0,33
2011,5,Austria,0,9,17,3,29,0,29
2011,5,Rusia,4,0,22,4,30,0,30
2011,5,Países del Este,2,2,29,5,38,0,38
2011,5,Resto de Europa,10,2,136,8,156,0,156
2011,5,Estados Unidos,21,22,11,3,57,0,57
2011,5,Resto de América,16,9,120,30,175,0,175
2011,5,Resto del Mundo,83,331,104,34,552,0,552
2011,5,TOTAL,3924,4148,4426,660,13158,0,13158
2011,6,España,3447,2972,3376,534,10329,0,10329
2011,6,Holanda,14,6,11,0,31,0,31
